ticknumber;musica;dia1;dia2;dia3;cambio
4570;sin estilo;2.2;.91; ; 
4571;metal;2.14; ; ; 
4582;indie;1.29;1.58;.81;-.48
4590;metal;3.21;2.85; ; 
4597;sin estilo;2.67; ; ; 
4598;pop;1.85;.79; ; 
4601;sin estilo;1.35; ; ; 
4607;sin estilo;2.14;.76; ; 
4611;sin estilo;1.24;.56; ; 
4654;sin estilo;2.02;1.78;2.55;.53
4655;sin estilo;2.32; ; ; 
4663;sin estilo;1.08;.23; ; 
4666;sin estilo;1.14;1.35;1.02;-.12
4690;pop;2.14;1.82; ; 
4692;metal;2.88; ; ; 
4693;indie;1.35;.17;.44;-.91
4694;pop;1;1.7; ; 
4695;metal;2.02; ; ; 
4696;sin estilo;.64;1.32; ; 
4697;indie;.29;.14; ; 
4698;indie;1.73;.94; ; 
4699;sin estilo;1.82;1.52; ; 
4704;indie;2.11; ; ; 
4710;sin estilo;1.23; ; ; 
4711;sin estilo;.64; ; ; 
4724;metal;2.23;1.41;2.11;-.12
4725;sin estilo;2.44;.32; ; 
4740;sin estilo;1.17;.58; ; 
4744;pop;.61;.44; ; 
4749;metal;.52; ; ; 
4756;sin estilo;2.91;.94; ; 
4758;indie;2.61;1.44; ; 
4759;sin estilo;1.47; ; ; 
4760;sin estilo;1.28; ; ; 
4765;pop;1.26; ; ; 
